brand,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price
Dodge,2007,189719,Diesel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14000
BMW,2019,9949,Gasoline,Automatic,Blue,Black,None reported,No,75798
Lucid,2022,3552,Electric,Automatic,Red,Beige,None reported,Yes,119999
Audi,2012,54000,Gasoline,Automatic,Black,Brown,At least 1 accident or damage reported,Yes,36880
Chevrolet,2021,51351,Gasoline,Automatic,Black,Jet Black,None reported,Yes,43147
MINI,2017,24280,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,29000
Toyota,2016,89148,Gasoline,Automatic,Black,Black,None reported,Yes,17500
Porsche,2017,73043,Gasoline,Automatic,White,Black,None reported,Yes,30990
Mercedes-Benz,2017,60000,Gasoline,Other,Gray,Black,At least 1 accident or damage reported,Yes,52500
Honda,2016,73549,Gasoline,Automatic,Mountain Air Metallic,Black,At least 1 accident or damage reported,No,20848
Hummer,2005,110900,Gasoline,Automatic,Gray,Black,None reported,Yes,19500
Porsche,2013,39000,Gasoline,Automatic,Blue,Black,None reported,Yes,73000
Mercedes-Benz,2016,120000,Gasoline,Other,Black,Black,None reported,Yes,19800
Chrysler,2009,134602,Gasoline,Other,Blue,Black,None reported,Yes,7500
Nissan,2023,1094,Gasoline,Automatic,Caspian Blue,Light Gray,None reported,No,30999
Audi,2010,83500,Gasoline,Other,Silver,Black,None reported,Yes,6500
Ford,2014,37060,Gasoline,Manual,Black,Black,None reported,Yes,28500
Acura,2010,97700,Gasoline,Other,Blue,Beige,None reported,Yes,10995
Volvo,2018,40000,Plug-In Hybrid,Other,Black,Black,None reported,Yes,42000
Audi,2018,8940,Gasoline,Automatic,Tango Red Metallic,Black,None reported,No,144900
Mercedes-Benz,2014,186000,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,10000
Toyota,2021,13180,Gasoline,Variator,–,–,None reported,No,23998
Lexus,2014,104000,Gasoline,Automatic,Black,Black,None reported,Yes,21000
BMW,2023,8500,Hybrid,Other,Gray,Beige,None reported,Yes,67900
BMW,2019,19069,Gasoline,Automatic,Alpine White,Anthracite,None reported,No,69998
Cadillac,2023,6090,Gasoline,Automatic,White,Beige,None reported,Yes,46900
Lucid,2022,4900,Electric,Automatic,Red,Black,None reported,Yes,99000
Audi,2019,47523,Gasoline,Other,Black,Black,None reported,Yes,31000
Chrysler,2006,43000,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,19995
Bentley,2017,14684,Gasoline,Automatic,White,White,None reported,Yes,130000
BMW,2019,57800,Gasoline,Other,Black,Red,None reported,Yes,55999
Toyota,2023,952,Gasoline,Manual,Silver,Gray,None reported,Yes,49950
Audi,2019,21240,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,59950
Porsche,2019,59338,Gasoline,Other,Black,Black,None reported,Yes,42499
Lamborghini,2023,255,Gasoline,Automatic,BLU ELEOS,Nero Ade,None reported,No,359991
Maserati,2019,23230,Gasoline,Automatic,Black,Black,None reported,Yes,44999
Jaguar,2017,48000,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,30000
Lexus,2005,41059,Gasoline,Automatic,White,Beige,None reported,Yes,11100
Land,2020,21240,Gasoline,Automatic,White,Black,None reported,No,37998
Porsche,2015,11500,Gasoline,Automatic,Silver,–,None reported,Yes,72000
Genesis,2021,9950,Gasoline,Automatic,Silver,Blue,None reported,Yes,53950
Volkswagen,2023,633,Gasoline,Manual,White,Black,None reported,Yes,47999
Hyundai,2015,66000,Hybrid,Automatic,White,Gray,At least 1 accident or damage reported,Yes,15900
Audi,2014,59715,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,45000
BMW,2012,85252,Gasoline,Automatic,Black,Black,None reported,Yes,18500
Mercedes-Benz,2020,17900,Hybrid,Automatic,Black,Black,At least 1 accident or damage reported,Yes,80000
BMW,2016,25500,Gasoline,Automatic,White,Black,None reported,Yes,55000
Subaru,2004,210703,Gasoline,Manual,Green,Beige,None reported,No,2300
Hyundai,2023,3800,Gasoline,Manual,White,Black,None reported,Yes,34000
Kia,2022,36602,Hybrid,Automatic,Horizon Blue,Charcoal,None reported,Yes,31995
Rivian,2023,2800,Electric,Automatic,White,Green,None reported,Yes,92000
Aston,2021,2165,Gasoline,Automatic,Black,Black,None reported,Yes,279950
Mercedes-Benz,2018,33000,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,29900
BMW,2016,76009,Gasoline,Automatic,White,Beige,None reported,Yes,24950
Jeep,2020,31349,Gasoline,Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,No,39366
Lexus,2015,48000,Gasoline,Other,Orange,Red,None reported,Yes,32900
BMW,2005,91420,Gasoline,Automatic,Black,Black,None reported,Yes,8900
Toyota,2003,124756,Gasoline,Manual,Beige,Beige,At least 1 accident or damage reported,Yes,4995
Cadillac,2023,2415,Gasoline,Automatic,Rift Metallic,Gray,None reported,No,104900
GMC,2012,116226,Gasoline,Automatic,Black,Black,None reported,Yes,7900
Lexus,2020,37869,Gasoline,Automatic,Atomic Silver,Rioja Red,None reported,No,75950
BMW,2019,41500,Plug-In Hybrid,Other,White,Black,None reported,Yes,86000
Lexus,2013,87001,Hybrid,Variator,Gold,Beige,None reported,Yes,17995
Cadillac,2022,4451,Gasoline,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,55655
BMW,2020,27158,Gasoline,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,No,39998
Chevrolet,2014,139804,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14500
Jeep,2022,27300,Gasoline,Automatic,Green,Black,None reported,Yes,47500
BMW,2014,36812,Gasoline,Other,White,Beige,None reported,Yes,27000
Land,2016,144000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,18000
Cadillac,2019,44500,Gasoline,Automatic,Blue,White,None reported,Yes,28900
BMW,2021,10917,Gasoline,Automatic,Black,Black,None reported,No,73998
Bentley,2005,8332,Gasoline,Automatic,White,Beige,None reported,Yes,47350
Lincoln,2020,51247,Gasoline,Automatic,Magnetic Gray Clearcoat,Roast,None reported,No,47698
Mercedes-Benz,2016,69000,Gasoline,Other,Black,Brown,None reported,Yes,36500
RAM,2021,147834,Gasoline,Automatic,Bright White Clearcoat,Black,None reported,Yes,32662
Ford,2013,105000,E85 Flex Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,6600
Audi,2011,92203,Gasoline,Other,Red,Beige,None reported,Yes,9995
Nissan,2010,15600,Gasoline,Other,White,Black,None reported,Yes,69500
Land,2018,104700,Gasoline,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,No,30775
Toyota,2010,72348,Gasoline,Automatic,Red,Gray,At least 1 accident or damage reported,Yes,9995
Rivian,2023,2500,Electric,Automatic,Green,White,None reported,Yes,94000
Mercedes-Benz,2022,13177,Gasoline,Automatic,White,Silk Beige/Black,None reported,No,44798
Porsche,2016,96000,Plug-In Hybrid,Other,White,Red,At least 1 accident or damage reported,Yes,23000
Chevrolet,2011,93009,E85 Flex Fuel,Automatic,Summit White,Medium Pewter,None reported,Yes,22495
INFINITI,2016,52750,Hybrid,Automatic,White,Black,At least 1 accident or damage reported,Yes,28998
Audi,2020,25361,Hybrid,Automatic,Typhoon Gray,Black,None reported,No,49998
Audi,2015,98527,Gasoline,Automatic,Black,Black,None reported,No,9995
Lucid,2023,1300,Electric,Automatic,Black,Gray,None reported,No,86900
Chrysler,2017,87305,–,Automatic,Silver,Black,None reported,Yes,9000
Audi,2012,72922,Gasoline,Automatic,White,Black,None reported,No,25999
BMW,2015,41000,Gasoline,Automatic,Black,Black,None reported,Yes,30000
Subaru,2021,42125,Gasoline,Automatic,Crystal Black Silica,Black,None reported,Yes,27899
Mercedes-Benz,2016,62000,Gasoline,Other,Black,Black,None reported,Yes,40000
Land,2006,153843,Gasoline,Automatic,Red,Beige,At least 1 accident or damage reported,Yes,9950
BMW,2019,35248,Gasoline,Automatic,Arctic Gray Metallic,Black,None reported,No,53998
Ford,2015,194454,Gasoline,Automatic,White,Black,None reported,Yes,9888
Lexus,2021,21000,Gasoline,Other,White,Black,None reported,Yes,89999
Porsche,2013,18494,Gasoline,Manual,Black,Black,None reported,No,86900
Dodge,2006,218000,Gasoline,Automatic,Red,Gray,None reported,Yes,12990
Nissan,2021,67800,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,36500
Porsche,2014,79000,Gasoline,Other,Red,Black,At least 1 accident or damage reported,Yes,42999
Mercedes-Benz,2022,24906,Hybrid,Automatic,Selenite Grey Metallic,Black,None reported,No,63998
Chevrolet,2006,66840,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,12000
BMW,2013,86000,Gasoline,Other,Blue,White,None reported,Yes,32000
Hyundai,2023,654,Gasoline,Automatic,Ultra Black,Black,None reported,Yes,34599
Chevrolet,2005,75000,Gasoline,Automatic,Black,Black,None reported,Yes,12500
Land,2015,84000,Gasoline,Automatic,Beige,Black,At least 1 accident or damage reported,Yes,22800
Audi,2017,52500,Gasoline,Other,Gray,Gray,None reported,Yes,39999
GMC,2011,120000,Gasoline,Automatic,Silver,Gray,None reported,Yes,7500
Alfa,2020,18665,Gasoline,Automatic,Lunare White Metallic,Ice,None reported,Yes,35645
Ferrari,2016,19987,Gasoline,Automatic,Black,Brown,None reported,Yes,149900
Kia,2017,36486,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,23950
Ford,2013,162100,E85 Flex Fuel,Automatic,Black,Gray,None reported,Yes,12500
Tesla,2022,13079,Electric,Automatic,Black,White,None reported,Yes,47000
Toyota,2022,28377,Gasoline,Automatic,Silver,Gray,None reported,No,36999
Subaru,2020,32744,Gasoline,Variator,Black,Gray,None reported,Yes,24000
Porsche,2012,54000,Gasoline,Automatic,White,–,At least 1 accident or damage reported,Yes,26000
Toyota,2008,202055,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,8500
RAM,2019,65000,Diesel,Automatic,Black,Black,None reported,Yes,65000
Kia,2022,9686,Gasoline,Automatic,Hyper Red,Black,None reported,Yes,30990
Cadillac,2010,49620,Gasoline,Automatic,White,Gray,None reported,Yes,10499
Toyota,1997,213000,Gasoline,Automatic,White,Beige,None reported,Yes,26500
Nissan,2020,16010,Gasoline,Automatic,White,Black,None reported,Yes,114000
Lexus,2023,820,Gasoline,Other,Black,Black,None reported,No,51998
Audi,2021,68000,Gasoline,Automatic,Blue,Black,None reported,Yes,36499
Lexus,1999,82000,Gasoline,Automatic,White,Beige,None reported,Yes,25000
GMC,2022,27352,Gasoline,Automatic,Summit White,Jet Black,None reported,No,27785
Ford,2012,129000,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,7000
Lexus,2014,106731,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,30000
Ford,2019,34672,Gasoline,Automatic,White,White,None reported,Yes,45500
Chevrolet,2010,55900,Gasoline,Other,Beige,Beige,None reported,Yes,8950
Audi,2023,3158,Gasoline,Automatic,Daytona Gray Pearl Effect,Black / Express Red,None reported,No,128900
Audi,2015,82000,Gasoline,Automatic,White,Brown,None reported,Yes,17000
Genesis,2023,4785,Gasoline,Automatic,Vik Black,Obsidian Black,None reported,Yes,42850
Chevrolet,2021,20497,Gasoline,Automatic,Pacific Blue Metallic,Black,None reported,No,22999
Scion,2013,177600,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,7100
Lincoln,2014,78568,Hybrid,Automatic,Blue,Beige,None reported,Yes,15500
Ford,2018,95000,E85 Flex Fuel,Automatic,White,Gray,None reported,Yes,43000
Porsche,2018,4529,Gasoline,Automatic,Black,Black,None reported,Yes,417500
Ford,2021,25240,Gasoline,Automatic,Gray,Ebony,At least 1 accident or damage reported,No,39951
Volvo,2011,88300,Gasoline,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes,11500
Chevrolet,2013,98000,E85 Flex Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,27499
Audi,2018,20675,Gasoline,Other,Gray,Gray,None reported,Yes,76000
Lincoln,2008,95000,Gasoline,Automatic,Black,Black,None reported,Yes,10900
Hyundai,2010,107000,Gasoline,Automatic,Blue,Blue,At least 1 accident or damage reported,Yes,6250
Audi,2016,60000,Gasoline,Other,Black,Black,At least 1 accident or damage reported,Yes,24700
Mitsubishi,2012,33000,Gasoline,Manual,Black,Black,None reported,Yes,34999
Tesla,2023,500,Electric,Automatic,Black,White,None reported,Yes,60000
Mercedes-Benz,2016,108500,Gasoline,Automatic,White,Beige,None reported,Yes,63500
Nissan,2017,37800,Gasoline,Other,Orange,Orange,None reported,Yes,149500
Mercedes-Benz,2018,74422,Gasoline,Automatic,Obsidian Black Metallic,Gray,None reported,No,44798
Chevrolet,2019,55621,Gasoline,Automatic,Silver Ice Metallic,Jet Black,None reported,No,34562
Mazda,2021,46707,Gasoline,Automatic,Sonic Silver Metallic,Black,At least 1 accident or damage reported,Yes,32541
Ford,2022,26500,Gasoline,Automatic,White,Beige,None reported,Yes,65900
Nissan,2020,10001,Gasoline,Automatic,Black,Black,None reported,Yes,47214
Lexus,2019,19050,Gasoline,Automatic,Black,Beige,None reported,Yes,76900
Chevrolet,2020,52000,Gasoline,Automatic,White,Black,None reported,Yes,35800
Mercedes-Benz,2014,65000,Diesel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,54999
BMW,2004,140000,Gasoline,Other,Black,Beige,None reported,Yes,6730
Ford,2018,75600,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,14950
Lincoln,2015,117292,Gasoline,Automatic,Beige,Beige,None reported,Yes,12000
Ford,2005,1897,Gasoline,Manual,White,–,None reported,No,429998
Genesis,2017,26000,Gasoline,Other,White,Beige,None reported,Yes,33600
Lexus,2022,2071,Gasoline,Automatic,Nightfall Mica,Caramel,None reported,No,99950
Ford,2014,15629,Gasoline,Manual,Black,Black,None reported,No,61900
Saturn,2008,15020,Gasoline,Automatic,Silver,Red,None reported,Yes,18500
Audi,2022,11322,Gasoline,Automatic,Daytona Gray Pearl Effect,Black / Express Red,None reported,No,119900
Toyota,2016,50361,Gasoline,Automatic,Silver,Black,None reported,No,65998
Mercedes-Benz,2013,115000,Gasoline,Other,Black,Black,At least 1 accident or damage reported,Yes,36000
Porsche,2005,28500,Gasoline,Manual,Silver,Black,None reported,Yes,63500
Mercedes-Benz,2018,51700,Gasoline,Other,White,Black,None reported,Yes,32000
Ford,2008,148949,Gasoline,Automatic,Blue,Beige,None reported,Yes,3900
BMW,2018,39300,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,31750
Honda,2008,82323,Gasoline,Manual,Black,Black,None reported,Yes,28500
Acura,2023,3574,Gasoline,Other,Apex Blue,Orchid,None reported,No,34998
Ford,2001,109357,Gasoline,Automatic,Green,Beige,None reported,Yes,12749
Mercedes-Benz,2004,46000,Gasoline,Automatic,White,Gray,None reported,Yes,18853
Mercedes-Benz,2007,123112,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,104999
INFINITI,2007,37100,Gasoline,Manual,Gray,Black,None reported,Yes,16900
Volkswagen,2016,89000,Gasoline,Manual,Silver,Black,None reported,Yes,14500
Dodge,2022,1240,Gasoline,Automatic,Go Mango!,Black,None reported,No,53900
Lincoln,2019,67073,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,47999
Maserati,2015,28700,Gasoline,Automatic,White,Red,None reported,No,24900
Tesla,2023,8200,Electric,Automatic,Black,Black,None reported,Yes,93999
Mercedes-Benz,2018,41000,Gasoline,Other,Gray,Black,None reported,Yes,108900
Ford,2018,98995,Gasoline,Automatic,Ingot Silver Metallic,Ebony,None reported,No,34998
Volkswagen,2012,123815,Gasoline,Automatic,Black,Gray,None reported,Yes,5000
Bugatti,2011,6330,Gasoline,Automatic,White,White,None reported,Yes,1950995
Toyota,2020,61341,Gasoline,Automatic,Midnight Black Metallic,Black,At least 1 accident or damage reported,No,34084
Honda,2016,96473,Gasoline,Automatic,Black,Black,None reported,No,15599
Jeep,2017,66107,Gasoline,Automatic,Black Clearcoat,Black,None reported,No,31331
Land,2008,114287,Gasoline,Automatic,Black,Black,None reported,Yes,9900
Acura,2015,75000,Gasoline,Automatic,Gold,Beige,None reported,Yes,14500
BMW,2016,45800,Gasoline,Automatic,Gold,Black,None reported,No,36800
Polestar,2021,12172,Electric,Automatic,Thunder Gray,Charcoal,None reported,No,35999
BMW,2016,70582,Gasoline,Automatic,Black,White,At least 1 accident or damage reported,Yes,35000
Porsche,2014,33088,Gasoline,Automatic,Black,Black,None reported,Yes,49750
Lincoln,2021,1850,Plug-In Hybrid,Variator,Silver,Beige,None reported,Yes,49000
Cadillac,2008,94155,Gasoline,Automatic,White,Beige,None reported,Yes,10500
Cadillac,2016,25000,Gasoline,Automatic,Red,Beige,None reported,Yes,17999
GMC,2016,99500,Gasoline,Automatic,Gray,Black,None reported,Yes,27995
INFINITI,2009,158564,Gasoline,Automatic,Blue,Beige,None reported,Yes,8750
Ford,2023,20000,Gasoline,Automatic,Black,Black,None reported,Yes,78499
Cadillac,2018,46711,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,20850
Nissan,2017,46496,Gasoline,Automatic,Black,Gray,None reported,Yes,41000
Mercedes-Benz,2019,19800,Gasoline,Automatic,Silver,Black,None reported,Yes,53800
Toyota,2008,175000,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,37900
Toyota,2016,61500,Gasoline,Automatic,White,Black,None reported,Yes,63500
RAM,2016,49750,Gasoline,Automatic,Black,Gray,None reported,Yes,65000
Lamborghini,2007,38800,Gasoline,Other,Orange,Orange,None reported,Yes,100000
Lincoln,2011,83765,Gasoline,Automatic,Black,Black,None reported,Yes,8995
Mercedes-Benz,2023,7388,Electric,Automatic,Gray,Beige,None reported,Yes,105500
Lamborghini,2023,278,Gasoline,Automatic,Bianco Monocerus,Nero Ade,None reported,No,359991
Alfa,2022,1966,Gasoline,Automatic,Verde,Black,None reported,No,75900
Chevrolet,2021,50648,Gasoline,Automatic,Pacific Blue Metallic,Jet Black,None reported,No,23995
Toyota,1993,231500,–,Automatic,White,Gray,None reported,Yes,29500
Lamborghini,2021,13692,Gasoline,Automatic,Black,Red,None reported,Yes,257000
INFINITI,2013,60058,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,15000
Maserati,2017,54423,Gasoline,Automatic,Black,Black,None reported,Yes,33950
Toyota,2022,24001,Gasoline,Automatic,Wind Chill Pearl,Graphite,None reported,No,47498
Nissan,2022,14735,Gasoline,Automatic,White,Black,None reported,No,50998
Audi,2023,2425,Hybrid,Automatic,Mythos Black,–,None reported,No,42998
Ford,2022,2050,Gasoline,Other,Gray,Black,None reported,Yes,94999
Lincoln,2019,64855,Gasoline,Automatic,Silver,Beige,None reported,Yes,46995
Mercedes-Benz,2022,16238,Electric,Automatic,White,Beige,None reported,Yes,62479
RAM,2022,18051,Gasoline,Automatic,Patriot Blue Pearlcoat,Black,None reported,Yes,47995
Lincoln,2004,36524,Gasoline,Automatic,Black,Black,None reported,Yes,14900
Acura,2022,14896,Gasoline,Other,Lunar Silver Metallic,Ebony,None reported,No,39998
Toyota,2022,14048,Hybrid,Automatic,Black,Black,None reported,No,29999
Honda,2003,224000,Gasoline,Manual,Black,Gray,None reported,Yes,3900
Mercedes-Benz,2014,80581,Gasoline,Other,Gray,Beige,None reported,Yes,26000
Mazda,2007,81400,Gasoline,Manual,Red,–,At least 1 accident or damage reported,Yes,11000
Porsche,2019,6700,Gasoline,Automatic,Gray,Black,None reported,Yes,63000
Ford,2015,143000,Gasoline,Automatic,Silver,Gray,None reported,Yes,22500
Kia,2017,87842,Gasoline,Automatic,Black Cherry,Black,None reported,Yes,18688
INFINITI,2010,116451,Gasoline,Manual,White,Gray,None reported,Yes,16500
Nissan,2019,53677,Gasoline,Automatic,Red,Gray,None reported,Yes,27900
Audi,2021,12000,Hybrid,Automatic,Gray,Black,None reported,Yes,77500
Land,2019,20034,Gasoline,Automatic,Yulong White,Tan/Ebony,None reported,No,43998
Ford,2020,32000,Diesel,Automatic,Black,Black,None reported,Yes,68000
INFINITI,2014,70312,Gasoline,Automatic,Black,Black,None reported,Yes,19995
Jeep,2022,8794,Gasoline,Automatic,White,Black,None reported,Yes,54000
Lincoln,2010,156000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,5900
Porsche,2020,25568,Gasoline,Manual,Red,Black,None reported,Yes,134999
Mercedes-Benz,2018,67100,Gasoline,Other,Gray,Black,At least 1 accident or damage reported,Yes,34250
Porsche,2014,52000,Gasoline,Other,Blue,Beige,At least 1 accident or damage reported,Yes,37000
Acura,2011,137200,Gasoline,Other,White,Gray,None reported,Yes,12000
Volkswagen,2018,36000,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,32000
Kia,2023,15500,Gasoline,Variator,White,Black,At least 1 accident or damage reported,Yes,24500
BMW,2020,10906,Gasoline,Automatic,Donington Grey Metallic,Black,None reported,No,96998
Lincoln,2019,49814,Gasoline,Automatic,Ruby Red Metallic Tinted Clearcoat,Cappuccino,None reported,No,26545
BMW,2015,846,Plug-In Hybrid,Automatic,White,White,None reported,Yes,86999
Toyota,2021,67039,Gasoline,Automatic,Blue,Black,None reported,No,34645
Mazda,2023,2636,Gasoline,Automatic,Platinum Quartz Metallic,Black,None reported,No,28535
Porsche,2018,50166,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,43550
Lincoln,2017,37375,Gasoline,Automatic,Blue,Brown,None reported,Yes,27500
Tesla,2021,21600,Electric,Automatic,White,Black,None reported,Yes,31000
Porsche,2019,9500,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,69000
Chevrolet,2005,143095,Gasoline,Automatic,Red,Black,None reported,Yes,16000
Acura,2002,80000,Gasoline,Manual,Beige,Beige,At least 1 accident or damage reported,Yes,8500
Ferrari,2021,3000,Gasoline,Automatic,Blue,Brown,None reported,Yes,275000
Porsche,2007,5856,Gasoline,Manual,Black,Black,None reported,Yes,45000
Rolls-Royce,2013,2958,Gasoline,Automatic,Yellow,–,None reported,Yes,488880
Audi,2022,28927,Gasoline,Automatic,Matador Red Metallic,Black,None reported,No,74900
Mercedes-Benz,2022,4102,Hybrid,Automatic,Black,Black,None reported,Yes,144664
Honda,2021,14442,Gasoline,Automatic,White,Beige,None reported,Yes,38500
Mercedes-Benz,2005,64000,Gasoline,Automatic,Silver,Black,None reported,Yes,12995
Lexus,2004,154000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,10000
Lexus,2015,54000,Gasoline,Automatic,White,Black,None reported,Yes,27000
Dodge,2007,232492,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,6000
Maserati,2020,25721,Gasoline,Automatic,Blu,Nero,None reported,Yes,52645
Land,2020,20927,Gasoline,Automatic,Fuji White,–,None reported,No,35998
Aston,2021,2353,Gasoline,Automatic,Green,Sahara Tan,None reported,Yes,159500
Audi,2022,9325,Gasoline,Automatic,Mythos Black Metallic,Black,None reported,No,33610
Ford,2020,61001,Gasoline,Automatic,Gray,Ebony,At least 1 accident or damage reported,Yes,28616
Mercedes-Benz,2018,71962,Gasoline,Automatic,White,Black,None reported,Yes,46900
Subaru,2023,5800,Gasoline,Manual,Black,Black,None reported,Yes,29990
BMW,2016,40080,Gasoline,Automatic,Black,Black,None reported,Yes,28499
Kia,2020,57000,Gasoline,Automatic,Black,Red,At least 1 accident or damage reported,Yes,36500
Chevrolet,2022,7624,Electric,Automatic,Mosaic Black Metallic,Jet Black,None reported,Yes,31985
Subaru,2004,122000,Gasoline,Manual,Gold,Black,At least 1 accident or damage reported,Yes,9999
Kia,2023,459,Gasoline,Automatic,Jungle Green,Black,None reported,No,36998
BMW,2016,62500,Gasoline,Automatic,Black,Orange,At least 1 accident or damage reported,Yes,40500
Hyundai,2013,72000,Gasoline,Automatic,Silver,Black,None reported,Yes,17500
Mercedes-Benz,2020,8375,Gasoline,Automatic,BLACK,BLACK,None reported,No,69900
